Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD10_Flag,BMD50_Flag,bmdrc.Endpoint.ID
69.0,MOV,Weibull,0.0,0.0,inf,29.68261904761905,0.0,100.0,0.29682619047619047,1,1,1,0,69.0 MOV
4786.0,MOV,Quantal Linear,1.1784514068335543,0.4895654978489426,7.752811999576651,0.46339285714285705,0.0,1.9,0.243890977443609,1,1,1,0,4786.0 MOV
3860.0,MOV,Quantal Linear,34.55450743346619,15.752997955938914,227.3276592621311,40.03023809523809,0.0,100.0,0.4003023809523809,1,1,1,0,3860.0 MOV
4900.0,AUC,Quantal Linear,86.5796345875658,38.65856779716774,569.5912670281599,14.15488095238095,0.0,100.0,0.1415488095238095,1,1,1,0,4900.0 AUC
4895.0,AUC,Log Logistic,30.514004047620805,3.160352384546371,3604.388663496118,11.924285714285713,0.0,100.0,0.11924285714285712,1,1,1,0,4895.0 AUC
4839.0,MOV,Quantal Linear,27.91059826968433,10.00809762814485,183.61862010245324,12.809523809523808,0.0,40.0,0.3202380952380952,1,1,1,0,4839.0 MOV
4838.0,AUC,Log Probit,6.580124531278783,,11479.094504013085,22.63190476190476,0.0,100.0,0.22631904761904761,1,1,1,0,4838.0 AUC
4835.0,AUC,Quantal Linear,14.798774224968412,,97.35837534331667,6.284761904761904,0.0,24.2,0.2597009051554506,1,1,1,0,4835.0 AUC
4830.0,AUC,Log Probit,6.613588100562098,,12548.767295298105,6.373809523809524,0.0,20.8,0.3064331501831502,1,1,1,0,4830.0 AUC
4825.0,AUC,Quantal Linear,16.030633602363906,7.338119396272521,105.46254841951013,5.17845238095238,0.0,24.2,0.21398563557654462,1,1,1,0,4825.0 AUC
4816.0,AUC,Log Probit,6.683123372241392,,59144.736891298024,7.383214285714285,0.0,27.7,0.26654203197524495,1,1,1,0,4816.0 AUC
4792.0,MOV,Gamma,1.3409740638038512,0.46425006620533477,3.7657087734815406,0.4059523809523809,0.0,1.9,0.21365914786967416,1,1,1,0,4792.0 MOV
4792.0,AUC,Log Logistic,0.6784306092985234,0.12910119585606103,4.037878949212985,0.44166666666666665,0.0,1.9,0.2324561403508772,1,1,1,0,4792.0 AUC
4791.0,MOV,Quantal Linear,1.0530687128289657,0.4445493834744812,6.927942642230873,0.4964285714285714,0.0,1.9,0.2612781954887218,1,1,1,0,4791.0 MOV
4790.0,MOV,Quantal Linear,0.543948845451906,0.29926150500603854,3.578537996324047,0.6529761904761904,0.0,1.9,0.34367167919799496,1,1,1,0,4790.0 MOV
4788.0,AUC,Log Logistic,1.69709395203549,0.45865766387423995,14.938725750289702,0.29880952380952375,0.0,1.9,0.15726817042606514,1,1,1,0,4788.0 AUC
4835.0,MOV,Quantal Linear,10.470739388055287,5.848346359314096,68.88504142082164,5.359761904761903,0.0,24.2,0.2214777646595828,1,1,1,0,4835.0 MOV
4785.0,AUC,Log Probit,4.690210609763437e-11,,362.65174008969217,0.993452380952381,0.0,2.6,0.38209706959706957,1,1,1,0,4785.0 AUC
4750.0,AUC,Quantal Linear,39.636675582576416,18.418812838619722,260.7622955838416,30.375476190476192,0.0,100.0,0.3037547619047619,1,1,1,0,4750.0 AUC
4783.0,MOV,Gamma,0.5534067294148097,0.15792391925308055,3.4029877251766396,0.41994047619047614,0.0,1.9,0.22102130325814534,1,1,1,0,4783.0 MOV
4773.0,AUC,Log Logistic,33.846891860962245,4.1107322857382655,252.77376996914182,35.17738095238095,0.0,100.0,0.3517738095238095,1,1,1,0,4773.0 AUC
4772.0,MOV,Gamma,64.85241319119542,17.59652116952266,197.1014179623359,27.976190476190474,0.0,100.0,0.27976190476190477,1,1,1,0,4772.0 MOV
4770.0,MOV,Quantal Linear,78.1712455494173,27.900512243611303,514.2740438876442,19.227738095238095,0.0,100.0,0.19227738095238095,1,1,1,0,4770.0 MOV
4765.0,AUC,Quantal Linear,43.11518389962278,21.2774643053952,283.6467529867027,23.280714285714282,0.0,100.0,0.23280714285714282,1,1,1,0,4765.0 AUC
4764.0,MOV,Quantal Linear,28.244135909577494,14.473826739722174,185.8129020235231,31.46988095238095,0.0,100.0,0.3146988095238095,1,1,1,0,4764.0 MOV
4758.0,MOV,Weibull,0.0,0.0,inf,34.31547619047619,0.0,100.0,0.3431547619047619,1,1,1,0,4758.0 MOV
4756.0,AUC,Log Logistic,47.49383590095565,6.437351158767835,3118.9186588597436,12.678571428571427,0.0,100.0,0.12678571428571428,1,1,1,0,4756.0 AUC
4784.0,MOV,Weibull,0.0,0.0,inf,0.5574404761904761,0.0,1.9,0.2933897243107769,1,1,1,0,4784.0 MOV
4753.0,AUC,Log Logistic,67.2595474418084,30.6379061564761,248.75214074915198,14.178333333333331,0.0,100.0,0.14178333333333332,1,1,1,0,4753.0 AUC
4751.0,AUC,Log Probit,37.22314802786451,15.811772593513624,1800.8519937429205,21.454761904761902,0.0,100.0,0.21454761904761901,1,1,1,0,4751.0 AUC
4831.0,AUC,,,,,,0.0,24.2,,0,0,0,0,4831.0 AUC
4832.0,AUC,,,,,,0.0,24.0,,0,0,0,0,4832.0 AUC
4831.0,MOV,,,,,,0.0,24.2,,0,0,0,0,4831.0 MOV
4829.0,MOV,,,,,0.40416666666666656,0.0,10.5,0.03849206349206348,0,0,0,0,4829.0 MOV
4830.0,MOV,,,,,2.132738095238095,0.0,20.8,0.10253548534798533,0,0,0,0,4830.0 MOV
4833.0,AUC,,,,,,0.0,24.0,,0,0,0,0,4833.0 AUC
4829.0,AUC,,,,,2.0970238095238094,0.0,10.5,0.19971655328798185,0,0,0,0,4829.0 AUC
4828.0,MOV,,,,,,0.0,24.2,,0,0,0,0,4828.0 MOV
4832.0,MOV,,,,,,0.0,24.0,,0,0,0,0,4832.0 MOV
4836.0,MOV,,,,,,0.0,22.0,,0,0,0,0,4836.0 MOV
4833.0,MOV,,,,,,0.0,24.0,,0,0,0,0,4833.0 MOV
4834.0,AUC,,,,,,0.0,24.2,,0,0,0,0,4834.0 AUC
4834.0,MOV,,,,,,0.0,24.2,,0,0,0,0,4834.0 MOV
4835.0,AUC,,,,,8.204166666666666,0.0,24.2,0.3390151515151515,0,0,0,0,4835.0 AUC
4836.0,AUC,,,,,,0.0,22.0,,0,0,0,0,4836.0 AUC
4837.0,AUC,,,,,6.4696428571428575,0.0,45.4,0.1425031466331026,0,0,0,0,4837.0 AUC
4837.0,MOV,,,,,3.544047619047619,0.0,45.4,0.07806272288651143,0,0,0,0,4837.0 MOV
4839.0,AUC,,,,,5.154761904761904,0.0,40.0,0.1288690476190476,0,0,0,0,4839.0 AUC
4827.0,MOV,,,,,3.4755952380952375,0.0,24.2,0.14361963793781973,0,0,0,0,4827.0 MOV
4840.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4840.0 AUC
4828.0,AUC,,,,,,0.0,24.2,,0,0,0,0,4828.0 AUC
4819.0,AUC,,,,,,0.0,29.3,,0,0,0,0,4819.0 AUC
4827.0,AUC,,,,,5.99047619047619,0.0,24.2,0.24754033844942933,0,0,0,0,4827.0 AUC
4820.0,AUC,,,,,,0.0,24.2,,0,0,0,0,4820.0 AUC
4815.0,MOV,,,,,10.808333333333334,0.0,21.3,0.507433489827856,0,0,0,0,4815.0 MOV
4816.0,MOV,,,,,6.312023809523809,0.0,27.7,0.22787089565067903,0,0,0,0,4816.0 MOV
4817.0,AUC,,,,,,0.0,45.2,,0,0,0,0,4817.0 AUC
4817.0,MOV,,,,,,0.0,45.2,,0,0,0,0,4817.0 MOV
4818.0,AUC,,,,,,0.0,24.2,,0,0,0,0,4818.0 AUC
4818.0,MOV,,,,,,0.0,24.2,,0,0,0,0,4818.0 MOV
4894.0,AUC,,,,,5.5269047619047615,0.0,100.0,0.055269047619047613,0,0,0,0,4894.0 AUC
4819.0,MOV,,,,,,0.0,29.3,,0,0,0,0,4819.0 MOV
4820.0,MOV,,,,,,0.0,24.2,,0,0,0,0,4820.0 MOV
4826.0,MOV,,,,,,0.0,23.2,,0,0,0,0,4826.0 MOV
4822.0,AUC,,,,,2.875595238095238,0.0,27.7,0.10381210245831184,0,0,0,0,4822.0 AUC
4822.0,MOV,,,,,2.1632142857142855,0.0,27.7,0.07809437854564208,0,0,0,0,4822.0 MOV
4823.0,AUC,,,,,6.492857142857144,0.0,45.4,0.1430144745122719,0,0,0,0,4823.0 AUC
4823.0,MOV,,,,,8.238095238095237,0.0,45.4,0.18145584224879377,0,0,0,0,4823.0 MOV
4824.0,AUC,,,,,,0.0,25.5,,0,0,0,0,4824.0 AUC
4824.0,MOV,,,,,,0.0,25.5,,0,0,0,0,4824.0 MOV
4825.0,MOV,,,,,0.9328571428571429,0.0,24.2,0.0385478158205431,0,0,0,0,4825.0 MOV
4826.0,AUC,,,,,,0.0,23.2,,0,0,0,0,4826.0 AUC
4840.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4840.0 MOV
4904.0,AUC,,,,,0.8451190476190475,0.0,10.0,0.08451190476190476,0,0,0,0,4904.0 AUC
4895.0,MOV,,,,,10.143571428571427,0.0,100.0,0.10143571428571427,0,0,0,0,4895.0 MOV
4908.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4908.0 MOV
4909.0,MOV,,,,,,0.0,2.1,,0,0,0,0,4909.0 MOV
4910.0,AUC,,,,,,0.0,20.0,,0,0,0,0,4910.0 AUC
4910.0,MOV,,,,,,0.0,20.0,,0,0,0,0,4910.0 MOV
4911.0,AUC,,,,,,0.0,50.8,,0,0,0,0,4911.0 AUC
4911.0,MOV,,,,,,0.0,50.8,,0,0,0,0,4911.0 MOV
4912.0,AUC,,,,,,0.0,50.0,,0,0,0,0,4912.0 AUC
4912.0,MOV,,,,,,0.0,50.0,,0,0,0,0,4912.0 MOV
4913.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4913.0 AUC
4913.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4913.0 MOV
4914.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4914.0 AUC
4914.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4914.0 MOV
4915.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4915.0 AUC
4915.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4915.0 MOV
4978.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4978.0 AUC
4978.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4978.0 MOV
53.0,AUC,,,,,,0.0,100.0,,0,0,0,0,53.0 AUC
53.0,MOV,,,,,,0.0,100.0,,0,0,0,0,53.0 MOV
69.0,AUC,,,,,45.37976190476191,0.0,100.0,0.45379761904761906,0,0,0,0,69.0 AUC
702.0,AUC,,,,,24.851190476190474,0.0,100.0,0.24851190476190474,0,0,0,0,702.0 AUC
4909.0,AUC,,,,,,0.0,2.1,,0,0,0,0,4909.0 AUC
4908.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4908.0 AUC
4896.0,AUC,,,,,24.80238095238095,0.0,100.0,0.2480238095238095,0,0,0,0,4896.0 AUC
4907.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4907.0 MOV
4896.0,MOV,,,,,11.595595238095237,0.0,100.0,0.11595595238095237,0,0,0,0,4896.0 MOV
4897.0,AUC,,,,,19.285952380952377,0.0,100.0,0.19285952380952376,0,0,0,0,4897.0 AUC
4897.0,MOV,,,,,10.384642857142858,0.0,100.0,0.10384642857142858,0,0,0,0,4897.0 MOV
4898.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4898.0 AUC
4898.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4898.0 MOV
4899.0,AUC,,,,,16.89642857142857,0.0,100.0,0.16896428571428568,0,0,0,0,4899.0 AUC
4899.0,MOV,,,,,12.51488095238095,0.0,100.0,0.1251488095238095,0,0,0,0,4899.0 MOV
4900.0,MOV,,,,,36.39857142857143,0.0,100.0,0.3639857142857143,0,0,0,0,4900.0 MOV
4901.0,AUC,,,,,,0.0,30.0,,0,0,0,0,4901.0 AUC
4901.0,MOV,,,,,,0.0,30.0,,0,0,0,0,4901.0 MOV
4902.0,AUC,,,,,61.659166666666664,0.0,100.0,0.6165916666666666,0,0,0,0,4902.0 AUC
4902.0,MOV,,,,,17.595714285714283,0.0,100.0,0.17595714285714284,0,0,0,0,4902.0 MOV
4814.0,MOV,,,,,2.481071428571429,0.0,29.3,0.08467820575329109,0,0,0,0,4814.0 MOV
4904.0,MOV,,,,,5.447738095238095,0.0,10.0,0.5447738095238095,0,0,0,0,4904.0 MOV
4905.0,AUC,,,,,,0.0,22.0,,0,0,0,0,4905.0 AUC
4905.0,MOV,,,,,,0.0,22.0,,0,0,0,0,4905.0 MOV
4906.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4906.0 AUC
4906.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4906.0 MOV
4907.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4907.0 AUC
4815.0,AUC,,,,,2.424404761904762,0.0,21.3,0.1138218198077353,0,0,0,0,4815.0 AUC
4793.0,AUC,,,,,0.41369047619047616,0.0,1.9,0.21773182957393483,0,0,0,0,4793.0 AUC
4814.0,AUC,,,,,12.203571428571427,0.0,29.3,0.41650414431984395,0,0,0,0,4814.0 AUC
4750.0,MOV,,,,,9.739047619047618,0.0,100.0,0.09739047619047618,0,0,0,0,4750.0 MOV
4752.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4752.0 AUC
4752.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4752.0 MOV
4753.0,MOV,,,,,13.629761904761903,0.0,100.0,0.13629761904761903,0,0,0,0,4753.0 MOV
4754.0,AUC,,,,,7.55202380952381,0.0,100.0,0.0755202380952381,0,0,0,0,4754.0 AUC
4754.0,MOV,,,,,7.9228571428571435,0.0,100.0,0.07922857142857144,0,0,0,0,4754.0 MOV
4755.0,AUC,,,,,6.175595238095237,0.0,100.0,0.06175595238095237,0,0,0,0,4755.0 AUC
4755.0,MOV,,,,,14.285714285714283,0.0,100.0,0.14285714285714282,0,0,0,0,4755.0 MOV
4756.0,MOV,,,,,8.035714285714285,0.0,100.0,0.08035714285714285,0,0,0,0,4756.0 MOV
4757.0,AUC,,,,,19.345238095238095,0.0,100.0,0.19345238095238096,0,0,0,0,4757.0 AUC
4757.0,MOV,,,,,11.25,0.0,100.0,0.1125,0,0,0,0,4757.0 MOV
4758.0,AUC,,,,,9.464285714285714,0.0,100.0,0.09464285714285714,0,0,0,0,4758.0 AUC
4759.0,AUC,,,,,20.669642857142854,0.0,100.0,0.20669642857142853,0,0,0,0,4759.0 AUC
4759.0,MOV,,,,,12.529761904761903,0.0,100.0,0.12529761904761905,0,0,0,0,4759.0 MOV
4764.0,AUC,,,,,40.15416666666666,0.0,100.0,0.40154166666666663,0,0,0,0,4764.0 AUC
4765.0,MOV,,,,,12.81047619047619,0.0,100.0,0.12810476190476192,0,0,0,0,4765.0 MOV
4766.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4766.0 AUC
4766.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4766.0 MOV
4767.0,AUC,,,,,26.583571428571425,0.0,100.0,0.26583571428571423,0,0,0,0,4767.0 AUC
4767.0,MOV,,,,,35.84166666666667,0.0,100.0,0.35841666666666666,0,0,0,0,4767.0 MOV
4751.0,MOV,,,,,13.24690476190476,0.0,100.0,0.1324690476190476,0,0,0,0,4751.0 MOV
4579.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4579.0 MOV
4813.0,MOV,,,,,,0.0,27.7,,0,0,0,0,4813.0 MOV
4579.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4579.0 AUC
4784.0,AUC,Quantal Linear,4.141487106531438,1.0650793127775806,27.246071199390492,0.17351190476190476,0.0,1.9,0.09132205513784461,1,0,0,0,4784.0 AUC
4838.0,MOV,Quantal Linear,118.26206861601526,27.85427570398295,778.0240910608028,30.159523809523805,0.0,100.0,0.301595238095238,1,0,0,0,4838.0 MOV
4894.0,MOV,Quantal Linear,142.26833080132693,27.615938058821413,935.9568123049929,31.344642857142855,0.0,100.0,0.31344642857142857,1,0,0,0,4894.0 MOV
4900.0,MOV,Log Logistic,122.64616623593135,,1186.3109387652862,21.49773809523809,0.0,100.0,0.21497738095238092,1,0,0,0,4900.0 MOV
3689.0,AUC,,,,,1.5625,0.0,100.0,0.015625,0,0,0,0,3689.0 AUC
3689.0,MOV,,,,,19.13690476190476,0.0,100.0,0.1913690476190476,0,0,0,0,3689.0 MOV
3690.0,AUC,,,,,25.416666666666664,0.0,100.0,0.25416666666666665,0,0,0,0,3690.0 AUC
3690.0,MOV,,,,,8.57142857142857,0.0,100.0,0.08571428571428569,0,0,0,0,3690.0 MOV
3760.0,AUC,,,,,10.357142857142856,0.0,100.0,0.10357142857142856,0,0,0,0,3760.0 AUC
3760.0,MOV,,,,,4.851190476190476,0.0,100.0,0.04851190476190476,0,0,0,0,3760.0 MOV
3762.0,AUC,,,,,13.425238095238095,0.0,100.0,0.13425238095238096,0,0,0,0,3762.0 AUC
3762.0,MOV,,,,,15.408571428571427,0.0,100.0,0.15408571428571427,0,0,0,0,3762.0 MOV
3859.0,AUC,,,,,10.89988095238095,0.0,100.0,0.10899880952380951,0,0,0,0,3859.0 AUC
3859.0,MOV,,,,,12.93142857142857,0.0,100.0,0.12931428571428571,0,0,0,0,3859.0 MOV
3860.0,AUC,,,,,19.266190476190474,0.0,100.0,0.19266190476190473,0,0,0,0,3860.0 AUC
3862.0,AUC,,,,,,0.0,100.0,,0,0,0,0,3862.0 AUC
3862.0,MOV,,,,,,0.0,100.0,,0,0,0,0,3862.0 MOV
447.0,AUC,,,,,10.41845238095238,0.0,100.0,0.1041845238095238,0,0,0,0,447.0 AUC
447.0,MOV,,,,,24.888571428571424,0.0,100.0,0.24888571428571424,0,0,0,0,447.0 MOV
4768.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4768.0 AUC
4768.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4768.0 MOV
4769.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4769.0 AUC
4769.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4769.0 MOV
4787.0,AUC,,,,,,0.0,2.6,,0,0,0,0,4787.0 AUC
4787.0,MOV,,,,,,0.0,2.6,,0,0,0,0,4787.0 MOV
4788.0,MOV,,,,,0.806845238095238,0.0,1.9,0.4246553884711779,0,0,0,0,4788.0 MOV
4789.0,AUC,,,,,,0.0,2.6,,0,0,0,0,4789.0 AUC
4789.0,MOV,,,,,,0.0,2.6,,0,0,0,0,4789.0 MOV
4790.0,AUC,,,,,0.3297619047619047,0.0,1.9,0.17355889724310775,0,0,0,0,4790.0 AUC
4791.0,AUC,,,,,0.10803571428571429,0.0,1.9,0.056860902255639105,0,0,0,0,4791.0 AUC
4793.0,MOV,,,,,0.08214285714285713,0.0,1.9,0.043233082706766915,0,0,0,0,4793.0 MOV
4794.0,AUC,,,,,,0.0,2.1,,0,0,0,0,4794.0 AUC
4794.0,MOV,,,,,,0.0,2.1,,0,0,0,0,4794.0 MOV
4795.0,AUC,,,,,,0.0,2.4,,0,0,0,0,4795.0 AUC
4795.0,MOV,,,,,,0.0,2.4,,0,0,0,0,4795.0 MOV
4796.0,AUC,,,,,,0.0,1.9,,0,0,0,0,4796.0 AUC
4796.0,MOV,,,,,,0.0,1.9,,0,0,0,0,4796.0 MOV
4797.0,AUC,,,,,,0.0,1.9,,0,0,0,0,4797.0 AUC
4797.0,MOV,,,,,,0.0,1.9,,0,0,0,0,4797.0 MOV
4812.0,AUC,,,,,,0.0,8.5,,0,0,0,0,4812.0 AUC
4812.0,MOV,,,,,,0.0,8.5,,0,0,0,0,4812.0 MOV
4813.0,AUC,,,,,,0.0,27.7,,0,0,0,0,4813.0 AUC
4786.0,AUC,,,,,0.41488095238095235,0.0,1.9,0.21835839598997492,0,0,0,0,4786.0 AUC
4785.0,MOV,,,,,0.8441666666666665,0.0,2.6,0.3246794871794871,0,0,0,0,4785.0 MOV
4783.0,AUC,,,,,0.1788690476190476,0.0,1.9,0.09414160401002505,0,0,0,0,4783.0 AUC
4775.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4775.0 MOV
4770.0,AUC,,,,,20.960119047619045,0.0,100.0,0.20960119047619044,0,0,0,0,4770.0 AUC
4771.0,AUC,,,,,7.420476190476189,0.0,100.0,0.0742047619047619,0,0,0,0,4771.0 AUC
4771.0,MOV,,,,,10.604285714285712,0.0,100.0,0.10604285714285712,0,0,0,0,4771.0 MOV
4772.0,AUC,,,,,8.598928571428571,0.0,100.0,0.08598928571428571,0,0,0,0,4772.0 AUC
4773.0,MOV,,,,,14.084761904761903,0.0,100.0,0.14084761904761903,0,0,0,0,4773.0 MOV
4774.0,AUC,,,,,13.334166666666665,0.0,100.0,0.13334166666666664,0,0,0,0,4774.0 AUC
4774.0,MOV,,,,,17.897976190476186,0.0,100.0,0.17897976190476186,0,0,0,0,4774.0 MOV
4775.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4775.0 AUC
4776.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4776.0 AUC
4780.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4780.0 MOV
4776.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4776.0 MOV
4777.0,AUC,,,,,13.922142857142855,0.0,100.0,0.13922142857142855,0,0,0,0,4777.0 AUC
4777.0,MOV,,,,,36.68166666666666,0.0,100.0,0.36681666666666657,0,0,0,0,4777.0 MOV
4778.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4778.0 AUC
4778.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4778.0 MOV
4779.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4779.0 AUC
4779.0,MOV,,,,,,0.0,100.0,,0,0,0,0,4779.0 MOV
4780.0,AUC,,,,,,0.0,100.0,,0,0,0,0,4780.0 AUC
702.0,MOV,,,,,0.8482142857142858,0.0,100.0,0.008482142857142858,0,0,0,0,702.0 MOV
